IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.25.0.73,4,4,0.00,170.00,0.00
172.67.208.221,4,4,0.00,170.01,0.00
104.19.168.192,4,4,0.00,170.02,0.00
104.24.245.189,4,4,0.00,170.03,0.00
172.64.79.120,4,4,0.00,170.06,0.00
104.16.94.44,4,4,0.00,170.08,0.00
172.65.241.242,4,4,0.00,170.08,0.00
104.17.11.28,4,4,0.00,170.12,0.00
104.24.201.63,4,4,0.00,170.14,0.00
104.17.47.11,4,4,0.00,170.20,0.00
172.65.145.109,4,4,0.00,170.21,0.00
104.25.168.185,4,4,0.00,170.21,0.00
172.65.66.141,4,4,0.00,170.29,0.00
104.18.108.128,4,4,0.00,170.34,0.00
104.16.74.215,4,4,0.00,170.36,0.00
104.19.252.153,4,4,0.00,170.37,0.00
172.66.197.231,4,4,0.00,170.39,0.00
104.24.151.223,4,4,0.00,170.40,0.00
172.67.97.81,4,4,0.00,170.41,0.00
104.17.68.221,4,4,0.00,170.42,0.00
172.66.129.19,4,4,0.00,170.43,0.00
104.25.105.72,4,4,0.00,170.45,0.00
172.67.91.83,4,4,0.00,170.45,0.00
104.22.31.46,4,4,0.00,170.48,0.00
104.27.29.65,4,4,0.00,170.49,0.00
172.67.243.166,4,4,0.00,170.50,0.00
104.17.0.97,4,4,0.00,170.50,0.00
104.19.169.83,4,4,0.00,170.51,0.00
104.17.82.80,4,4,0.00,170.52,0.00
104.18.214.84,4,4,0.00,170.52,0.00
104.24.250.252,4,4,0.00,170.53,0.00
104.25.30.72,4,4,0.00,170.53,0.00
104.25.188.236,4,4,0.00,170.54,0.00
104.24.138.65,4,4,0.00,170.55,0.00
104.24.89.206,4,4,0.00,170.55,0.00
172.65.69.17,4,4,0.00,170.55,0.00
172.65.116.50,4,4,0.00,170.56,0.00
172.65.146.246,4,4,0.00,170.57,0.00
104.25.190.39,4,4,0.00,170.57,0.00
172.67.21.137,4,4,0.00,170.59,0.00
104.21.216.17,4,4,0.00,170.62,0.00
104.21.197.188,4,4,0.00,170.66,0.00
104.21.15.225,4,4,0.00,170.67,0.00
104.25.161.169,4,4,0.00,170.69,0.00
104.16.176.43,4,4,0.00,170.71,0.00
104.17.14.39,4,4,0.00,170.71,0.00
188.114.98.248,4,4,0.00,170.72,0.00
172.65.62.214,4,4,0.00,170.73,0.00
104.25.37.248,4,4,0.00,170.73,0.00
172.67.212.244,4,4,0.00,170.76,0.00
104.24.76.241,4,4,0.00,170.77,0.00
104.27.96.42,4,4,0.00,170.77,0.00
104.19.163.248,4,4,0.00,170.78,0.00
172.65.55.50,4,4,0.00,170.78,0.00
104.21.69.136,4,4,0.00,170.78,0.00
104.24.154.177,4,4,0.00,170.81,0.00
104.21.46.196,4,4,0.00,170.81,0.00
104.21.65.204,4,4,0.00,170.82,0.00
104.24.231.208,4,4,0.00,170.82,0.00
104.25.116.60,4,4,0.00,170.83,0.00
104.16.211.79,4,4,0.00,170.85,0.00
104.25.159.3,4,4,0.00,170.86,0.00
104.24.143.232,4,4,0.00,170.86,0.00
172.65.75.231,4,4,0.00,170.89,0.00
104.27.108.182,4,4,0.00,170.90,0.00
104.24.255.56,4,4,0.00,170.94,0.00
172.65.140.119,4,4,0.00,170.95,0.00
172.67.29.225,4,4,0.00,170.96,0.00
172.67.34.156,4,4,0.00,170.97,0.00
104.24.131.213,4,4,0.00,170.97,0.00
104.18.63.217,4,4,0.00,171.02,0.00
104.24.224.144,4,4,0.00,171.03,0.00
104.23.126.58,4,4,0.00,171.03,0.00
104.24.183.24,4,4,0.00,171.05,0.00
172.65.6.176,4,4,0.00,171.06,0.00
104.24.202.25,4,4,0.00,171.10,0.00
104.24.136.75,4,4,0.00,171.10,0.00
104.24.85.121,4,4,0.00,171.12,0.00
104.23.113.65,4,4,0.00,171.12,0.00
104.23.136.70,4,4,0.00,171.12,0.00
172.67.28.10,4,4,0.00,171.17,0.00
172.65.86.134,4,4,0.00,171.17,0.00
104.22.1.59,4,4,0.00,171.18,0.00
104.17.3.95,4,4,0.00,171.18,0.00
104.18.98.254,4,4,0.00,171.18,0.00
104.22.7.239,4,4,0.00,171.20,0.00
172.65.9.158,4,4,0.00,171.23,0.00
104.22.21.161,4,4,0.00,171.25,0.00
104.25.237.190,4,4,0.00,171.25,0.00
104.21.104.163,4,4,0.00,171.26,0.00
104.25.123.23,4,4,0.00,171.26,0.00
104.23.97.159,4,4,0.00,171.27,0.00
104.19.28.173,4,4,0.00,171.27,0.00
198.41.199.199,4,4,0.00,171.28,0.00
104.16.166.140,4,4,0.00,171.29,0.00
104.20.5.228,4,4,0.00,171.32,0.00
172.67.53.231,4,4,0.00,171.33,0.00
104.25.121.241,4,4,0.00,171.33,0.00
104.22.2.72,4,4,0.00,171.33,0.00
104.25.16.208,4,4,0.00,171.34,0.00
104.24.233.102,4,4,0.00,171.34,0.00
104.27.197.253,4,4,0.00,171.35,0.00
104.27.122.250,4,4,0.00,171.37,0.00
104.16.218.179,4,4,0.00,171.39,0.00
104.27.103.211,4,4,0.00,171.39,0.00
172.65.8.74,4,4,0.00,171.40,0.00
104.17.9.147,4,4,0.00,171.41,0.00
104.16.20.18,4,4,0.00,171.46,0.00
172.65.107.36,4,4,0.00,171.46,0.00
104.21.1.91,4,4,0.00,171.47,0.00
172.67.64.86,4,4,0.00,171.47,0.00
104.27.5.181,4,4,0.00,171.48,0.00
104.25.79.69,4,4,0.00,171.49,0.00
104.24.28.219,4,4,0.00,171.50,0.00
104.19.241.209,4,4,0.00,171.51,0.00
104.25.17.24,4,4,0.00,171.52,0.00
104.27.89.73,4,4,0.00,171.53,0.00
104.16.186.22,4,4,0.00,171.53,0.00
172.67.239.221,4,4,0.00,171.53,0.00
104.19.123.49,4,4,0.00,171.54,0.00
104.21.53.142,4,4,0.00,171.54,0.00
172.67.25.44,4,4,0.00,171.55,0.00
104.27.11.153,4,4,0.00,171.55,0.00
104.25.136.254,4,4,0.00,171.56,0.00
104.27.93.119,4,4,0.00,171.59,0.00
104.17.70.177,4,4,0.00,171.60,0.00
104.19.185.162,4,4,0.00,171.60,0.00
104.24.62.71,4,4,0.00,171.65,0.00
104.20.10.120,4,4,0.00,171.65,0.00
