IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.27.102.126,4,4,0.00,172.27,0.00
104.19.255.93,4,4,0.00,172.28,0.00
172.67.82.77,4,4,0.00,172.28,0.00
172.67.216.238,4,4,0.00,172.29,0.00
172.65.253.78,4,4,0.00,172.29,0.00
104.25.235.49,4,4,0.00,172.29,0.00
104.22.10.192,4,4,0.00,172.30,0.00
104.24.21.51,4,4,0.00,172.30,0.00
104.24.66.228,4,4,0.00,172.31,0.00
104.20.7.168,4,4,0.00,172.31,0.00
104.25.224.43,4,4,0.00,172.31,0.00
104.19.251.184,4,4,0.00,172.36,0.00
172.64.151.50,4,4,0.00,172.37,0.00
104.19.78.195,4,4,0.00,172.38,0.00
104.17.74.167,4,4,0.00,172.39,0.00
172.64.91.151,4,4,0.00,172.39,0.00
104.21.56.214,4,4,0.00,172.40,0.00
172.67.111.90,4,4,0.00,172.43,0.00
104.25.215.165,4,4,0.00,172.43,0.00
172.67.209.28,4,4,0.00,172.43,0.00
104.25.41.19,4,4,0.00,172.45,0.00
104.25.138.134,4,4,0.00,172.47,0.00
104.27.120.146,4,4,0.00,172.47,0.00
104.25.175.8,4,4,0.00,172.48,0.00
104.21.68.130,4,4,0.00,172.50,0.00
104.27.65.220,4,4,0.00,172.51,0.00
104.16.223.167,4,4,0.00,172.52,0.00
172.67.228.55,4,4,0.00,172.52,0.00
104.24.50.177,4,4,0.00,172.52,0.00
104.24.84.116,4,4,0.00,172.53,0.00
104.24.24.232,4,4,0.00,172.53,0.00
104.25.225.62,4,4,0.00,172.53,0.00
104.21.106.126,4,4,0.00,172.58,0.00
172.65.159.225,4,4,0.00,172.58,0.00
172.65.68.150,4,4,0.00,172.59,0.00
104.21.12.205,4,4,0.00,172.59,0.00
104.16.224.115,4,4,0.00,172.60,0.00
104.25.111.143,4,4,0.00,172.61,0.00
104.25.26.225,4,4,0.00,172.61,0.00
104.21.192.226,4,4,0.00,172.62,0.00
104.21.97.19,4,4,0.00,172.63,0.00
104.24.165.221,4,4,0.00,172.64,0.00
104.24.26.166,4,4,0.00,172.64,0.00
104.25.35.134,4,4,0.00,172.64,0.00
104.22.30.194,4,4,0.00,172.65,0.00
104.25.114.221,4,4,0.00,172.65,0.00
104.16.120.30,4,4,0.00,172.67,0.00
172.66.169.148,4,4,0.00,172.68,0.00
104.24.191.154,4,4,0.00,172.69,0.00
104.25.54.201,4,4,0.00,172.71,0.00
104.22.12.189,4,4,0.00,172.71,0.00
104.25.232.114,4,4,0.00,172.71,0.00
172.67.191.91,4,4,0.00,172.72,0.00
104.24.137.35,4,4,0.00,172.72,0.00
104.16.29.69,4,4,0.00,172.72,0.00
172.65.119.25,4,4,0.00,172.73,0.00
104.16.229.120,4,4,0.00,172.75,0.00
104.24.20.21,4,4,0.00,172.75,0.00
172.65.151.178,4,4,0.00,172.76,0.00
104.16.117.177,4,4,0.00,172.76,0.00
104.24.39.58,4,4,0.00,172.77,0.00
172.66.149.63,4,4,0.00,172.78,0.00
104.16.219.31,4,4,0.00,172.79,0.00
104.25.113.205,4,4,0.00,172.80,0.00
104.24.219.176,4,4,0.00,172.81,0.00
104.16.160.205,4,4,0.00,172.81,0.00
104.25.211.87,4,4,0.00,172.82,0.00
104.21.201.33,4,4,0.00,172.82,0.00
104.16.73.162,4,4,0.00,172.82,0.00
104.21.82.30,4,4,0.00,172.84,0.00
104.25.165.220,4,4,0.00,172.85,0.00
104.27.59.179,4,4,0.00,172.85,0.00
104.24.216.191,4,4,0.00,172.86,0.00
104.27.84.228,4,4,0.00,172.86,0.00
104.27.56.21,4,4,0.00,172.87,0.00
172.66.144.226,4,4,0.00,172.87,0.00
172.67.188.199,4,4,0.00,172.88,0.00
172.67.119.26,4,4,0.00,172.88,0.00
104.27.64.139,4,4,0.00,172.88,0.00
104.21.88.253,4,4,0.00,172.88,0.00
104.27.71.112,4,4,0.00,172.90,0.00
104.24.212.148,4,4,0.00,172.91,0.00
104.21.95.127,4,4,0.00,172.91,0.00
104.16.190.83,4,4,0.00,172.92,0.00
172.67.86.69,4,4,0.00,172.93,0.00
104.17.39.77,4,4,0.00,172.94,0.00
104.24.32.180,4,4,0.00,172.94,0.00
172.66.208.65,4,4,0.00,172.94,0.00
104.16.165.130,4,4,0.00,172.95,0.00
104.24.64.186,4,4,0.00,172.96,0.00
172.65.12.133,4,4,0.00,172.96,0.00
172.65.91.216,4,4,0.00,172.97,0.00
172.67.44.228,4,4,0.00,172.99,0.00
104.17.83.207,4,4,0.00,173.00,0.00
104.27.91.126,4,4,0.00,173.00,0.00
104.16.68.249,4,4,0.00,173.01,0.00
104.25.226.156,4,4,0.00,173.02,0.00
172.67.124.21,4,4,0.00,173.03,0.00
104.24.83.169,4,4,0.00,173.04,0.00
172.65.121.165,4,4,0.00,173.04,0.00
172.66.128.50,4,4,0.00,173.05,0.00
104.25.220.107,4,4,0.00,173.06,0.00
104.27.21.168,4,4,0.00,173.06,0.00
104.21.76.164,4,4,0.00,173.06,0.00
104.25.46.173,4,4,0.00,173.06,0.00
104.27.99.164,4,4,0.00,173.08,0.00
162.159.197.177,4,4,0.00,173.08,0.00
104.21.38.85,4,4,0.00,173.08,0.00
104.24.155.75,4,4,0.00,173.08,0.00
104.24.75.220,4,4,0.00,173.11,0.00
104.25.29.40,4,4,0.00,173.11,0.00
172.65.168.245,4,4,0.00,173.11,0.00
104.17.6.59,4,4,0.00,173.12,0.00
104.25.122.38,4,4,0.00,173.12,0.00
104.18.36.112,4,4,0.00,173.13,0.00
104.25.100.108,4,4,0.00,173.13,0.00
104.25.2.44,4,4,0.00,173.14,0.00
104.25.156.69,4,4,0.00,173.15,0.00
172.67.183.93,4,4,0.00,173.15,0.00
172.65.79.61,4,4,0.00,173.18,0.00
104.17.67.108,4,4,0.00,173.18,0.00
104.27.8.65,4,4,0.00,173.18,0.00
104.22.15.71,4,4,0.00,173.18,0.00
172.66.195.129,4,4,0.00,173.19,0.00
172.65.152.237,4,4,0.00,173.20,0.00
104.16.122.153,4,4,0.00,173.20,0.00
104.24.87.167,4,4,0.00,173.21,0.00
104.21.80.155,4,4,0.00,173.21,0.00
104.24.37.173,4,4,0.00,173.21,0.00
172.67.66.171,4,4,0.00,173.22,0.00
104.16.126.241,4,4,0.00,173.24,0.00
104.24.254.211,4,4,0.00,173.25,0.00
172.66.163.29,4,4,0.00,173.25,0.00
104.16.114.131,4,4,0.00,173.25,0.00
104.21.47.157,4,4,0.00,173.25,0.00
104.16.24.20,4,4,0.00,173.25,0.00
104.21.120.250,4,4,0.00,173.27,0.00
172.65.7.176,4,4,0.00,173.28,0.00
172.67.227.214,4,4,0.00,173.28,0.00
104.16.164.112,4,4,0.00,173.29,0.00
172.67.87.101,4,4,0.00,173.29,0.00
104.16.183.48,4,4,0.00,173.29,0.00
172.67.215.219,4,4,0.00,173.30,0.00
104.23.137.108,4,4,0.00,173.30,0.00
198.41.198.84,4,4,0.00,173.30,0.00
104.25.108.135,4,4,0.00,173.31,0.00
172.65.174.219,4,4,0.00,173.31,0.00
104.16.25.140,4,4,0.00,173.32,0.00
104.16.78.96,4,4,0.00,173.33,0.00
104.16.124.5,4,4,0.00,173.34,0.00
172.66.130.153,4,4,0.00,173.34,0.00
104.25.167.171,4,4,0.00,173.34,0.00
104.24.5.72,4,4,0.00,173.35,0.00
104.19.243.166,4,4,0.00,173.35,0.00
104.20.0.112,4,4,0.00,173.35,0.00
172.65.95.121,4,4,0.00,173.35,0.00
172.65.19.151,4,4,0.00,173.36,0.00
172.65.197.146,4,4,0.00,173.36,0.00
104.24.213.31,4,4,0.00,173.37,0.00
172.65.24.98,4,4,0.00,173.38,0.00
104.24.240.168,4,4,0.00,173.40,0.00
104.25.219.13,4,4,0.00,173.42,0.00
172.67.250.29,4,4,0.00,173.42,0.00
104.27.121.217,4,4,0.00,173.42,0.00
104.25.65.56,4,4,0.00,173.42,0.00
104.25.14.57,4,4,0.00,173.43,0.00
104.19.174.18,4,4,0.00,173.44,0.00
104.24.73.151,4,4,0.00,173.44,0.00
172.65.18.132,4,4,0.00,173.45,0.00
172.65.74.78,4,4,0.00,173.45,0.00
104.25.137.66,4,4,0.00,173.46,0.00
104.25.192.245,4,4,0.00,173.46,0.00
104.17.8.219,4,4,0.00,173.47,0.00
104.18.106.138,4,4,0.00,173.47,0.00
104.16.189.160,4,4,0.00,173.48,0.00
104.17.15.246,4,4,0.00,173.49,0.00
104.16.69.189,4,4,0.00,173.49,0.00
104.24.161.143,4,4,0.00,173.49,0.00
104.25.193.241,4,4,0.00,173.49,0.00
104.18.204.116,4,4,0.00,173.50,0.00
104.24.188.50,4,4,0.00,173.51,0.00
172.65.149.222,4,4,0.00,173.51,0.00
172.66.150.1,4,4,0.00,173.52,0.00
104.21.78.30,4,4,0.00,173.53,0.00
104.25.22.156,4,4,0.00,173.53,0.00
104.25.52.217,4,4,0.00,173.53,0.00
104.17.75.219,4,4,0.00,173.53,0.00
104.16.212.226,4,4,0.00,173.54,0.00
198.41.196.91,4,4,0.00,173.55,0.00
104.24.40.170,4,4,0.00,173.55,0.00
172.67.94.85,4,4,0.00,173.55,0.00
172.65.82.2,4,4,0.00,173.56,0.00
104.25.81.220,4,4,0.00,173.57,0.00
104.21.14.53,4,4,0.00,173.57,0.00
104.25.153.114,4,4,0.00,173.57,0.00
172.67.222.78,4,4,0.00,173.59,0.00
172.65.167.113,4,4,0.00,173.59,0.00
104.25.42.36,4,4,0.00,173.60,0.00
104.25.24.208,4,4,0.00,173.60,0.00
104.21.34.69,4,4,0.00,173.62,0.00
172.67.113.42,4,4,0.00,173.62,0.00
104.25.179.91,4,4,0.00,173.62,0.00
172.65.105.169,4,4,0.00,173.63,0.00
172.66.214.60,4,4,0.00,173.63,0.00
172.67.65.210,4,4,0.00,173.63,0.00
172.65.27.245,4,4,0.00,173.64,0.00
104.27.79.210,4,4,0.00,173.64,0.00
104.16.235.148,4,4,0.00,173.66,0.00
104.23.105.73,4,4,0.00,173.67,0.00
104.16.174.16,4,4,0.00,173.67,0.00
172.65.13.8,4,4,0.00,173.67,0.00
104.25.149.139,4,4,0.00,173.68,0.00
104.21.113.16,4,4,0.00,173.68,0.00
104.24.48.35,4,4,0.00,173.68,0.00
104.25.6.39,4,4,0.00,173.68,0.00
104.23.130.20,4,4,0.00,173.69,0.00
104.25.25.109,4,4,0.00,173.69,0.00
104.27.94.135,4,4,0.00,173.70,0.00
104.21.89.87,4,4,0.00,173.70,0.00
172.65.244.174,4,4,0.00,173.72,0.00
172.67.54.140,4,4,0.00,173.72,0.00
172.67.210.122,4,4,0.00,173.73,0.00
172.66.166.240,4,4,0.00,173.74,0.00
104.27.109.219,4,4,0.00,173.74,0.00
104.27.115.74,4,4,0.00,173.74,0.00
104.21.60.166,4,4,0.00,173.74,0.00
104.24.187.253,4,4,0.00,173.75,0.00
104.24.190.130,4,4,0.00,173.76,0.00
104.21.117.141,4,4,0.00,173.76,0.00
104.24.243.57,4,4,0.00,173.76,0.00
172.67.16.45,4,4,0.00,173.76,0.00
104.23.129.58,4,4,0.00,173.77,0.00
104.25.66.213,4,4,0.00,173.77,0.00
198.41.217.100,4,4,0.00,173.77,0.00
104.16.91.2,4,4,0.00,173.77,0.00
172.65.48.163,4,4,0.00,173.78,0.00
104.27.73.126,4,4,0.00,173.78,0.00
104.21.85.164,4,4,0.00,173.78,0.00
172.67.235.156,4,4,0.00,173.79,0.00
104.23.120.117,4,4,0.00,173.79,0.00
104.25.19.177,4,4,0.00,173.80,0.00
104.27.7.66,4,4,0.00,173.81,0.00
172.65.161.247,4,4,0.00,173.82,0.00
104.24.234.55,4,4,0.00,173.82,0.00
104.16.28.102,4,4,0.00,173.83,0.00
173.245.58.52,4,4,0.00,173.84,0.00
104.21.25.185,4,4,0.00,173.84,0.00
104.25.166.151,4,4,0.00,173.84,0.00
104.27.105.159,4,4,0.00,173.84,0.00
104.16.87.131,4,4,0.00,173.85,0.00
104.25.155.145,4,4,0.00,173.85,0.00
104.22.19.104,4,4,0.00,173.86,0.00
108.162.194.5,4,4,0.00,173.86,0.00
104.21.213.1,4,4,0.00,173.88,0.00
172.67.221.230,4,4,0.00,173.88,0.00
104.24.176.228,4,4,0.00,173.88,0.00
104.23.127.182,4,4,0.00,173.89,0.00
104.27.58.176,4,4,0.00,173.89,0.00
172.67.236.229,4,4,0.00,173.90,0.00
172.66.217.117,4,4,0.00,173.91,0.00
172.65.133.158,4,4,0.00,173.91,0.00
172.65.56.74,4,4,0.00,173.93,0.00
104.19.77.72,4,4,0.00,173.93,0.00
104.24.60.123,4,4,0.00,173.94,0.00
104.25.191.232,4,4,0.00,173.94,0.00
172.65.114.242,4,4,0.00,173.95,0.00
172.67.177.21,4,4,0.00,173.96,0.00
104.16.95.26,4,4,0.00,173.96,0.00
104.24.8.137,4,4,0.00,173.97,0.00
104.17.13.127,4,4,0.00,173.97,0.00
104.24.186.128,4,4,0.00,173.98,0.00
104.27.23.122,4,4,0.00,173.98,0.00
104.24.30.14,4,4,0.00,173.99,0.00
162.159.245.1,4,4,0.00,174.00,0.00
104.24.80.88,4,4,0.00,174.00,0.00
104.25.146.183,4,4,0.00,174.00,0.00
188.114.99.203,4,4,0.00,174.00,0.00
172.67.49.151,4,4,0.00,174.03,0.00
104.16.237.25,4,4,0.00,174.03,0.00
104.16.76.115,4,4,0.00,174.04,0.00
104.25.47.23,4,4,0.00,174.06,0.00
104.27.68.37,4,4,0.00,174.06,0.00
104.23.117.80,4,4,0.00,174.10,0.00
104.21.96.128,4,4,0.00,174.10,0.00
104.25.183.180,4,4,0.00,174.10,0.00
104.22.29.169,4,4,0.00,174.11,0.00
172.65.163.153,4,4,0.00,174.12,0.00
104.23.119.67,4,4,0.00,174.14,0.00
104.27.198.157,4,4,0.00,174.14,0.00
104.21.27.8,4,4,0.00,174.15,0.00
104.21.209.37,4,4,0.00,174.15,0.00
104.24.36.138,4,4,0.00,174.16,0.00
104.21.210.53,4,4,0.00,174.16,0.00
172.65.50.173,4,4,0.00,174.16,0.00
172.66.3.100,4,4,0.00,174.16,0.00
172.65.23.80,4,4,0.00,174.17,0.00
104.21.127.114,4,4,0.00,174.17,0.00
104.25.36.21,4,4,0.00,174.18,0.00
162.159.14.54,4,4,0.00,174.19,0.00
172.65.58.54,4,4,0.00,174.19,0.00
104.27.203.217,4,4,0.00,174.20,0.00
162.159.255.202,4,4,0.00,174.20,0.00
104.16.171.210,4,4,0.00,174.21,0.00
104.24.226.175,4,4,0.00,174.22,0.00
104.17.38.122,4,4,0.00,174.22,0.00
104.24.203.249,4,4,0.00,174.24,0.00
104.24.217.203,4,4,0.00,174.24,0.00
104.21.121.6,4,4,0.00,174.24,0.00
104.27.82.45,4,4,0.00,174.25,0.00
172.67.225.136,4,4,0.00,174.26,0.00
104.27.43.188,4,4,0.00,174.26,0.00
104.27.116.199,4,4,0.00,174.27,0.00
104.25.218.202,4,4,0.00,174.28,0.00
172.65.150.189,4,4,0.00,174.28,0.00
198.41.223.239,4,4,0.00,174.29,0.00
104.21.63.154,4,4,0.00,174.29,0.00
172.65.175.79,4,4,0.00,174.29,0.00
104.24.91.86,4,4,0.00,174.30,0.00
172.67.32.215,4,4,0.00,174.31,0.00
172.66.212.16,4,4,0.00,174.31,0.00
104.27.204.226,4,4,0.00,174.32,0.00
172.65.83.250,4,4,0.00,174.33,0.00
104.16.216.149,4,4,0.00,174.34,0.00
104.27.55.114,4,4,0.00,174.34,0.00
104.22.25.36,4,4,0.00,174.36,0.00
104.25.184.13,4,4,0.00,174.37,0.00
172.66.137.38,4,4,0.00,174.37,0.00
172.67.35.225,4,4,0.00,174.37,0.00
104.25.43.18,4,4,0.00,174.37,0.00
104.25.96.229,4,4,0.00,174.39,0.00
104.24.45.53,4,4,0.00,174.40,0.00
104.25.70.100,4,4,0.00,174.40,0.00
104.27.33.134,4,4,0.00,174.41,0.00
104.16.222.170,4,4,0.00,174.41,0.00
104.16.65.74,4,4,0.00,174.42,0.00
104.27.20.226,4,4,0.00,174.43,0.00
104.16.226.110,4,4,0.00,174.43,0.00
172.65.111.25,4,4,0.00,174.44,0.00
104.16.233.192,4,4,0.00,174.44,0.00
104.27.126.59,4,4,0.00,174.44,0.00
104.24.157.170,4,4,0.00,174.45,0.00
104.25.9.26,4,4,0.00,174.45,0.00
172.67.240.212,4,4,0.00,174.45,0.00
104.24.206.239,4,4,0.00,174.45,0.00
104.25.206.2,4,4,0.00,174.45,0.00
104.16.21.92,4,4,0.00,174.46,0.00
104.24.237.31,4,4,0.00,174.46,0.00
172.67.219.191,4,4,0.00,174.48,0.00
104.18.103.68,4,4,0.00,174.48,0.00
104.25.11.98,4,4,0.00,174.48,0.00
104.27.30.165,4,4,0.00,174.48,0.00
104.24.152.37,4,4,0.00,174.48,0.00
141.101.113.62,4,4,0.00,174.49,0.00
104.21.10.43,4,4,0.00,174.51,0.00
104.24.63.226,4,4,0.00,174.52,0.00
104.27.75.114,4,4,0.00,174.53,0.00
104.25.178.18,4,4,0.00,174.55,0.00
172.66.1.30,4,4,0.00,174.55,0.00
104.24.38.36,4,4,0.00,174.56,0.00
104.21.45.156,4,4,0.00,174.56,0.00
104.25.203.196,4,4,0.00,174.57,0.00
172.65.155.185,4,4,0.00,174.57,0.00
104.25.227.229,4,4,0.00,174.58,0.00
172.67.52.32,4,4,0.00,174.58,0.00
104.21.19.223,4,4,0.00,174.58,0.00
104.21.205.23,4,4,0.00,174.58,0.00
198.41.201.203,4,4,0.00,174.59,0.00
104.21.75.17,4,4,0.00,174.59,0.00
104.16.228.96,4,4,0.00,174.60,0.00
172.65.81.130,4,4,0.00,174.61,0.00
198.41.197.207,4,4,0.00,174.61,0.00
104.25.217.3,4,4,0.00,174.61,0.00
172.66.172.82,4,4,0.00,174.62,0.00
172.65.14.232,4,4,0.00,174.62,0.00
104.21.42.100,4,4,0.00,174.65,0.00
104.23.108.68,4,4,0.00,174.66,0.00
104.24.227.96,4,4,0.00,174.66,0.00
172.66.201.11,4,4,0.00,174.66,0.00
104.17.69.135,4,4,0.00,174.68,0.00
104.27.195.64,4,4,0.00,174.68,0.00
104.17.71.190,4,4,0.00,174.69,0.00
172.65.106.172,4,4,0.00,174.69,0.00
104.27.47.172,4,4,0.00,174.69,0.00
104.25.162.115,4,4,0.00,174.69,0.00
104.22.20.226,4,4,0.00,174.70,0.00
172.65.117.114,4,4,0.00,174.70,0.00
104.19.250.152,4,4,0.00,174.71,0.00
104.25.40.100,4,4,0.00,174.72,0.00
104.25.150.167,4,4,0.00,174.75,0.00
104.21.223.190,4,4,0.00,174.75,0.00
104.21.51.92,4,4,0.00,174.76,0.00
172.67.115.171,4,4,0.00,174.77,0.00
104.16.112.138,4,4,0.00,174.77,0.00
172.65.0.182,4,4,0.00,174.78,0.00
172.67.41.24,4,4,0.00,174.79,0.00
172.67.42.247,4,4,0.00,174.79,0.00
172.66.41.40,4,4,0.00,174.81,0.00
104.25.34.169,4,4,0.00,174.82,0.00
104.24.78.74,4,4,0.00,174.83,0.00
104.24.229.33,4,4,0.00,174.83,0.00
172.65.21.70,4,4,0.00,174.84,0.00
172.65.251.18,4,4,0.00,174.84,0.00
104.25.176.133,4,4,0.00,174.84,0.00
104.21.100.27,4,4,0.00,174.84,0.00
104.25.139.184,4,4,0.00,174.85,0.00
162.159.16.151,4,4,0.00,174.85,0.00
104.21.40.10,4,4,0.00,174.85,0.00
104.25.185.67,4,4,0.00,174.85,0.00
104.27.60.29,4,4,0.00,174.86,0.00
104.16.72.15,4,4,0.00,174.86,0.00
104.21.58.176,4,4,0.00,174.86,0.00
104.21.6.24,4,4,0.00,174.86,0.00
172.67.45.243,4,4,0.00,174.87,0.00
104.17.64.91,4,4,0.00,174.87,0.00
104.27.22.52,4,4,0.00,174.88,0.00
104.24.25.196,4,4,0.00,174.89,0.00
172.65.127.99,4,4,0.00,174.90,0.00
104.21.43.195,4,4,0.00,174.90,0.00
198.41.218.23,4,4,0.00,174.91,0.00
104.19.27.97,4,4,0.00,174.92,0.00
172.65.51.26,4,4,0.00,174.93,0.00
104.17.33.67,4,4,0.00,174.94,0.00
172.67.102.162,4,4,0.00,174.94,0.00
104.20.13.31,4,4,0.00,174.95,0.00
104.25.120.230,4,4,0.00,174.96,0.00
104.16.173.116,4,4,0.00,174.97,0.00
162.159.253.40,4,4,0.00,174.97,0.00
172.66.161.104,4,4,0.00,174.98,0.00
162.159.249.214,4,4,0.00,174.98,0.00
104.17.10.224,4,4,0.00,174.98,0.00
104.20.8.127,4,4,0.00,174.98,0.00
172.67.220.187,4,4,0.00,174.98,0.00
104.17.65.32,4,4,0.00,174.99,0.00
104.24.208.170,4,4,0.00,175.00,0.00
104.17.45.144,4,4,0.00,175.00,0.00
172.65.108.32,4,4,0.00,175.00,0.00
104.27.51.221,4,4,0.00,175.00,0.00
172.65.15.93,4,4,0.00,175.01,0.00
104.22.27.156,4,4,0.00,175.01,0.00
104.21.72.144,4,4,0.00,175.01,0.00
104.19.120.46,4,4,0.00,175.01,0.00
104.21.99.196,4,4,0.00,175.02,0.00
104.25.95.50,4,4,0.00,175.02,0.00
104.16.209.238,4,4,0.00,175.03,0.00
104.17.87.63,4,4,0.00,175.03,0.00
104.17.66.144,4,4,0.00,175.04,0.00
172.65.49.4,4,4,0.00,175.05,0.00
162.159.60.239,4,4,0.00,175.06,0.00
104.25.57.57,4,4,0.00,175.07,0.00
104.25.189.169,4,4,0.00,175.07,0.00
104.24.133.110,4,4,0.00,175.07,0.00
104.27.113.219,4,4,0.00,175.08,0.00
172.66.143.63,4,4,0.00,175.09,0.00
104.16.67.19,4,4,0.00,175.09,0.00
104.24.230.27,4,4,0.00,175.09,0.00
172.65.162.216,4,4,0.00,175.10,0.00
104.16.215.5,4,4,0.00,175.10,0.00
104.23.116.186,4,4,0.00,175.10,0.00
104.25.84.35,4,4,0.00,175.11,0.00
172.67.185.62,4,4,0.00,175.12,0.00
172.65.165.228,4,4,0.00,175.14,0.00
104.24.18.106,4,4,0.00,175.15,0.00
104.16.92.154,4,4,0.00,175.16,0.00
104.24.19.204,4,4,0.00,175.16,0.00
172.65.59.105,4,4,0.00,175.16,0.00
104.24.94.150,4,4,0.00,175.16,0.00
104.25.92.5,4,4,0.00,175.16,0.00
104.16.88.183,4,4,0.00,175.17,0.00
104.25.89.195,4,4,0.00,175.18,0.00
104.24.162.162,4,4,0.00,175.19,0.00
104.21.214.171,4,4,0.00,175.19,0.00
172.65.129.10,4,4,0.00,175.20,0.00
172.64.53.150,4,4,0.00,175.21,0.00
172.67.88.146,4,4,0.00,175.21,0.00
172.67.95.3,4,4,0.00,175.22,0.00
172.64.41.44,4,4,0.00,175.23,0.00
172.65.115.186,4,4,0.00,175.23,0.00
104.21.115.147,4,4,0.00,175.24,0.00
104.21.36.122,4,4,0.00,175.24,0.00
172.65.242.115,4,4,0.00,175.25,0.00
172.66.175.222,4,4,0.00,175.26,0.00
104.16.16.100,4,4,0.00,175.28,0.00
172.66.155.85,4,4,0.00,175.28,0.00
104.21.4.132,4,4,0.00,175.29,0.00
104.23.134.115,4,4,0.00,175.31,0.00
104.21.220.128,4,4,0.00,175.32,0.00
104.16.236.34,4,4,0.00,175.32,0.00
172.65.246.248,4,4,0.00,175.33,0.00
104.21.90.65,4,4,0.00,175.34,0.00
104.21.196.161,4,4,0.00,175.35,0.00
172.67.83.99,4,4,0.00,175.36,0.00
104.25.86.27,4,4,0.00,175.36,0.00
172.65.54.54,4,4,0.00,175.37,0.00
172.67.55.161,4,4,0.00,175.37,0.00
172.64.69.122,4,4,0.00,175.37,0.00
104.18.131.41,4,4,0.00,175.40,0.00
104.25.209.177,4,4,0.00,175.40,0.00
104.25.143.212,4,4,0.00,175.41,0.00
104.17.7.172,4,4,0.00,175.41,0.00
104.20.11.31,4,4,0.00,175.41,0.00
104.21.84.118,4,4,0.00,175.42,0.00
104.23.124.116,4,4,0.00,175.42,0.00
104.24.46.11,4,4,0.00,175.42,0.00
162.159.26.53,4,4,0.00,175.42,0.00
104.16.113.144,4,4,0.00,175.42,0.00
104.23.112.23,4,4,0.00,175.42,0.00
104.16.84.96,4,4,0.00,175.42,0.00
104.25.60.169,4,4,0.00,175.44,0.00
104.24.59.174,4,4,0.00,175.44,0.00
104.21.122.26,4,4,0.00,175.47,0.00
104.27.27.184,4,4,0.00,175.47,0.00
172.67.43.35,4,4,0.00,175.47,0.00
172.65.164.14,4,4,0.00,175.48,0.00
172.65.130.70,4,4,0.00,175.48,0.00
104.24.214.232,4,4,0.00,175.48,0.00
104.21.50.147,4,4,0.00,175.49,0.00
104.25.39.246,4,4,0.00,175.49,0.00
172.64.88.15,4,4,0.00,175.50,0.00
172.65.254.243,4,4,0.00,175.51,0.00
104.27.12.173,4,4,0.00,175.51,0.00
104.16.89.183,4,4,0.00,175.52,0.00
104.22.11.108,4,4,0.00,175.52,0.00
104.27.206.24,4,4,0.00,175.53,0.00
104.16.161.194,4,4,0.00,175.53,0.00
172.67.89.121,4,4,0.00,175.55,0.00
104.24.153.152,4,4,0.00,175.55,0.00
104.24.145.175,4,4,0.00,175.56,0.00
172.65.170.41,4,4,0.00,175.57,0.00
172.65.78.227,4,4,0.00,175.57,0.00
104.25.147.195,4,4,0.00,175.57,0.00
104.16.86.214,4,4,0.00,175.60,0.00
104.27.118.111,4,4,0.00,175.61,0.00
104.23.115.7,4,4,0.00,175.61,0.00
104.24.14.174,4,4,0.00,175.61,0.00
104.27.31.211,4,4,0.00,175.62,0.00
104.24.209.198,4,4,0.00,175.66,0.00
104.21.22.164,4,4,0.00,175.66,0.00
104.24.43.74,4,4,0.00,175.66,0.00
104.17.42.127,4,4,0.00,175.66,0.00
172.67.179.250,4,4,0.00,175.67,0.00
104.19.249.220,4,4,0.00,175.69,0.00
104.25.195.198,4,4,0.00,175.69,0.00
172.65.157.137,4,4,0.00,175.70,0.00
104.27.69.171,4,4,0.00,175.71,0.00
162.159.248.104,4,4,0.00,175.72,0.00
172.66.170.112,4,4,0.00,175.72,0.00
104.20.2.219,4,4,0.00,175.73,0.00
104.21.86.187,4,4,0.00,175.74,0.00
104.25.126.8,4,4,0.00,175.74,0.00
104.27.52.148,4,4,0.00,175.74,0.00
172.66.177.201,4,4,0.00,175.75,0.00
104.27.95.13,4,4,0.00,175.75,0.00
172.66.213.72,4,4,0.00,175.75,0.00
104.21.111.136,4,4,0.00,175.76,0.00
104.24.166.131,4,4,0.00,175.76,0.00
104.27.50.37,4,4,0.00,175.76,0.00
104.16.30.97,4,4,0.00,175.77,0.00
172.64.149.135,4,4,0.00,175.78,0.00
104.19.23.54,4,4,0.00,175.79,0.00
104.21.81.87,4,4,0.00,175.80,0.00
104.25.68.253,4,4,0.00,175.80,0.00
104.22.17.200,4,4,0.00,175.80,0.00
104.25.69.9,4,4,0.00,175.81,0.00
104.24.31.80,4,4,0.00,175.81,0.00
104.25.110.210,4,4,0.00,175.81,0.00
104.17.72.41,4,4,0.00,175.84,0.00
104.25.163.122,4,4,0.00,175.85,0.00
104.27.192.107,4,4,0.00,175.85,0.00
104.25.173.244,4,4,0.00,175.85,0.00
172.65.98.215,4,4,0.00,175.87,0.00
172.65.160.36,4,4,0.00,175.88,0.00
104.19.30.8,4,4,0.00,175.90,0.00
104.27.13.91,4,4,0.00,175.90,0.00
198.41.204.49,4,4,0.00,175.90,0.00
172.67.104.189,4,4,0.00,175.90,0.00
104.16.175.149,4,4,0.00,175.91,0.00
104.27.15.6,4,4,0.00,175.94,0.00
104.24.92.132,4,4,0.00,175.95,0.00
104.19.25.88,4,4,0.00,175.96,0.00
104.24.196.86,4,4,0.00,175.96,0.00
172.65.22.163,4,4,0.00,175.97,0.00
